question,type,options,correctAnswer,explanation,difficulty,topic
"What are ACID properties in database transactions?",multiple-choice,"Atomicity, Consistency, Isolation, Durability",0,"ACID stands for Atomicity (all or nothing), Consistency (data integrity), Isolation (concurrent transactions don't interfere), and Durability (permanent changes).",intermediate,ACID Properties
"What is normalization in database design?",multiple-choice,"A process to organize data to reduce redundancy and improve data integrity,A process to encrypt data,A process to backup data,A process to compress data",0,"Normalization is a process of organizing data in a database to reduce redundancy and improve data integrity.",intermediate,Normalization
"What is the primary key in a database table?",multiple-choice,"A key that can be null,A key that uniquely identifies each row,A foreign key,A composite key",1,"A primary key uniquely identifies each row in a table and cannot be null.",beginner,ER Model
"What is a foreign key?",multiple-choice,"A key that is always unique,A key that references a primary key in another table,A key that is used for encryption,A key that is automatically generated",1,"A foreign key is a column or set of columns that references a primary key in another table.",beginner,ER Model
"What is the purpose of an index in a database?",multiple-choice,"To encrypt data,To speed up data retrieval,To compress data,To backup data",1,"Indexes speed up data retrieval by providing quick access to rows based on indexed columns.",intermediate,Indexing
"What is a transaction in database management?",multiple-choice,"A single SQL statement,A logical unit of work that must be completed entirely or not at all,A backup operation,A data export operation",1,"A transaction is a logical unit of work that must be completed entirely or not at all to maintain data consistency.",intermediate,Transactions
"What is the difference between DELETE and TRUNCATE?",multiple-choice,"DELETE removes all rows, TRUNCATE removes specific rows,DELETE can be rolled back, TRUNCATE cannot be rolled back,DELETE is faster than TRUNCATE,DELETE requires WHERE clause",1,"DELETE can be rolled back (if within a transaction), while TRUNCATE cannot be rolled back and is faster.",intermediate,SQL
"What is a view in a database?",multiple-choice,"A physical table,A virtual table based on a SELECT statement,A backup of a table,A copy of a table",1,"A view is a virtual table based on a SELECT statement that doesn't store data physically.",beginner,SQL
"What is the purpose of the GROUP BY clause?",multiple-choice,"To filter rows,To sort results,To group rows based on column values,To join tables",2,"GROUP BY groups rows based on column values and is often used with aggregate functions.",intermediate,SQL
"What is referential integrity?",multiple-choice,"Ensuring data is encrypted,Ensuring foreign key values exist in the referenced table,Ensuring data is backed up,Ensuring data is compressed",1,"Referential integrity ensures that foreign key values exist in the referenced table, maintaining data consistency.",intermediate,ACID Properties
