id,subject,question,A,B,C,D,correct_option,correct_answer
CN-001,CN,How many layers are in the OSI model?,5,6,7,4,C,7
CN-002,CN,Which protocol uses port 80 by default?,HTTPS,FTP,HTTP,SSH,C,HTTP
CN-003,CN,Which of the following is connection-oriented?,UDP,IP,TCP,ICMP,C,TCP
CN-004,CN,Which device operates primarily at Layer 2?,Router,Switch,Repeater,Gateway,B,Switch
CN-005,CN,Which address is used at the Data Link layer?,IP address,MAC address,Port number,URL,B,MAC address
CN-006,CN,Which protocol resolves IP to MAC in IPv4 networks?,DNS,ICMP,ARP,RARP,C,ARP
CN-007,CN,Which protocol is used for secure web traffic?,HTTP,HTTPS,FTP,Telnet,B,HTTPS
CN-008,CN,Which of the following uses port 22?,SSH,SMTP,DNS,RDP,A,SSH
CN-009,CN,Which protocol provides best-effort delivery without guarantees?,TCP,UDP,SCTP,HTTP,B,UDP
CN-010,CN,Which layer is responsible for end-to-end reliability?,Network,Transport,Session,Data Link,B,Transport
CN-011,CN,Which protocol translates domain names to IP addresses?,DHCP,DNS,NTP,SNMP,B,DNS
CN-012,CN,Which is NOT a private IPv4 range?,10.0.0.0/8,172.16.0.0/12,192.168.0.0/16,8.8.0.0/16,D,8.8.0.0/16
CN-013,CN,What is the size of an IPv4 address?,32 bits,48 bits,64 bits,128 bits,A,32 bits
CN-014,CN,What is the size of an IPv6 address?,32 bits,64 bits,96 bits,128 bits,D,128 bits
CN-015,CN,Which protocol is used to automatically assign IP addresses?,DNS,DHCP,ARP,RIP,B,DHCP
CN-016,CN,Which routing protocol is distance-vector?,OSPF,EIGRP (advanced DV),RIP,IS-IS,C,RIP
CN-017,CN,Which protocol uses port 443?,HTTP,FTP,HTTPS,SMTP,C,HTTPS
CN-018,CN,Which command checks reachability using ICMP Echo?,ping,traceroute,nslookup,netstat,A,ping
CN-019,CN,Which record type maps a hostname to an IPv4 address?,AAAA,CNAME,A,MX,C,A
CN-020,CN,Which protocol is used for email transfer between servers?,IMAP,POP3,SMTP,HTTP,C,SMTP
CN-021,CN,Which default TCP/UDP port is commonly associated with FTP control?,21,22,20,23,A,21
CN-022,CN,Which default TCP/UDP port is commonly associated with SSH?,22,23,21,24,A,22
CN-023,CN,Which default TCP/UDP port is commonly associated with Telnet?,23,24,22,25,A,23
CN-024,CN,Which default TCP/UDP port is commonly associated with SMTP?,25,26,24,27,A,25
CN-025,CN,Which default TCP/UDP port is commonly associated with DNS?,53,54,52,55,A,53
CN-026,CN,Which default TCP/UDP port is commonly associated with DHCP server?,67,68,66,69,A,67
CN-027,CN,Which default TCP/UDP port is commonly associated with DHCP client?,68,69,67,70,A,68
CN-028,CN,Which default TCP/UDP port is commonly associated with TFTP?,69,70,68,71,A,69
CN-029,CN,Which default TCP/UDP port is commonly associated with HTTP?,80,81,79,82,A,80
CN-030,CN,Which default TCP/UDP port is commonly associated with POP3?,110,111,109,112,A,110
CN-031,CN,Which default TCP/UDP port is commonly associated with IMAP?,143,144,142,145,A,143
CN-032,CN,Which default TCP/UDP port is commonly associated with SNMP?,161,162,160,163,A,161
CN-033,CN,Which default TCP/UDP port is commonly associated with HTTPS?,443,444,442,445,A,443
CN-034,CN,Which default TCP/UDP port is commonly associated with RDP?,3389,3390,3388,3391,A,3389
CN-035,CN,Which default TCP/UDP port is commonly associated with MySQL?,3306,3307,3305,3308,A,3306
CN-036,CN,Which default TCP/UDP port is commonly associated with PostgreSQL?,5432,5433,5431,5434,A,5432
CN-037,CN,Which default TCP/UDP port is commonly associated with NTP?,123,124,122,125,A,123
CN-038,CN,Which default TCP/UDP port is commonly associated with LDAP?,389,390,388,391,A,389
CN-039,CN,Which default TCP/UDP port is commonly associated with LDAPS?,636,637,635,638,A,636
CN-040,CN,Which default TCP/UDP port is commonly associated with SMB?,445,446,444,447,A,445
CN-041,CN,Routing occurs at which OSI layer?,Physical,Data Link,Network,Transport,C,Network
CN-042,CN,Encryption is typically associated with which OSI layer service?,Presentation,Session,Transport,Network,A,Presentation
CN-043,CN,Session management is the job of which layer?,Session,Transport,Application,Data Link,A,Session
CN-044,CN,Framing is done at which layer?,Data Link,Network,Transport,Physical,A,Data Link
CN-045,CN,Bit transmission over media is at which layer?,Application,Session,Data Link,Physical,D,Physical
CN-046,CN,How many layers are in the OSI model?,5,6,7,4,C,7
CN-047,CN,Which protocol uses port 80 by default?,HTTPS,FTP,HTTP,SSH,C,HTTP
CN-048,CN,Which of the following is connection-oriented?,UDP,IP,TCP,ICMP,C,TCP
CN-049,CN,Which device operates primarily at Layer 2?,Router,Switch,Repeater,Gateway,B,Switch
CN-050,CN,Which address is used at the Data Link layer?,IP address,MAC address,Port number,URL,B,MAC address
CN-051,CN,Which protocol resolves IP to MAC in IPv4 networks?,DNS,ICMP,ARP,RARP,C,ARP
CN-052,CN,Which protocol is used for secure web traffic?,HTTP,HTTPS,FTP,Telnet,B,HTTPS
CN-053,CN,Which of the following uses port 22?,SSH,SMTP,DNS,RDP,A,SSH
CN-054,CN,Which protocol provides best-effort delivery without guarantees?,TCP,UDP,SCTP,HTTP,B,UDP
CN-055,CN,Which layer is responsible for end-to-end reliability?,Network,Transport,Session,Data Link,B,Transport
CN-056,CN,Which protocol translates domain names to IP addresses?,DHCP,DNS,NTP,SNMP,B,DNS
CN-057,CN,Which is NOT a private IPv4 range?,10.0.0.0/8,172.16.0.0/12,192.168.0.0/16,8.8.0.0/16,D,8.8.0.0/16
