id,subject,question,A,B,C,D,correct_option,correct_answer
DSA-001,DSA,Time complexity of binary search in a sorted array of size N?,O(N),O(log N),O(N log N),O(1),B,O(log N)
DSA-002,DSA,Worst-case time complexity of QuickSort?,O(N log N),O(N),O(N^2),O(log N),C,O(N^2)
DSA-003,DSA,Average time to search in a balanced BST?,O(N),O(N log N),O(log N),O(1),C,O(log N)
DSA-004,DSA,Which data structure works on FIFO?,Stack,Queue,Tree,Graph,B,Queue
DSA-005,DSA,Which traversal of BST prints keys in ascending order?,Preorder,Inorder,Postorder,Level order,B,Inorder
DSA-006,DSA,Which data structure is best for implementing recursion?,Queue,Array,Stack,Heap,C,Stack
DSA-007,DSA,Which hashing collision resolution uses linked lists?,Open addressing,Chaining,Double hashing,Linear probing,B,Chaining
DSA-008,DSA,Which heap supports efficient decrease-key used in Dijkstra?,Binary heap,Fibonacci heap,Binomial heap,Leftist heap,B,Fibonacci heap
DSA-009,DSA,Which algorithm is used to find MST?,Dijkstra,Prim/Kruskal,Bellman-Ford,Floyd–Warshall,B,Prim/Kruskal
DSA-010,DSA,"Space complexity of DFS using adjacency list for V vertices, E edges?",O(V),O(E),O(V+E),O(VE),C,O(V+E)
DSA-011,DSA,Which structure gives O(1) average for insert/search?,BST,Hash table,Queue,Linked list,B,Hash table
DSA-012,DSA,Which traversal uses a queue on a graph?,DFS,BFS,DLS,IDS,B,BFS
DSA-013,DSA,"In a max-heap, the largest element is at:",Any leaf,Root,Random position,Rightmost node,B,Root
DSA-014,DSA,Merge Sort is:,"In-place, unstable","Not in-place, stable","In-place, stable","Not in-place, unstable",B,"Not in-place, stable"
DSA-015,DSA,Which is NOT a self-balancing BST?,AVL,Red-Black,Splay,B-Tree,D,B-Tree
DSA-016,DSA,Amortized complexity of push/pop for dynamic array (vector)?,O(N),O(log N),O(1),O(N log N),C,O(1)
DSA-017,DSA,Which algorithm detects negative cycles?,Dijkstra,Bellman-Ford,Prim,Kruskal,B,Bellman-Ford
DSA-018,DSA,Which representation is best for a sparse graph?,Adjacency matrix,Adjacency list,Incidence matrix,Edge list only,B,Adjacency list
DSA-019,DSA,Which strategy does QuickSelect use?,Divide and conquer,Greedy,Dynamic programming,Backtracking,A,Divide and conquer
DSA-020,DSA,Number of edges in a complete undirected graph with N vertices?,N(N-1),N(N-1)/2,N^2,N^2/2,B,N(N-1)/2
DSA-021,DSA,What is the time complexity of Linear search in unsorted array?,O(1),O(log N),O(N),O(N log N),C,O(N)
DSA-022,DSA,What is the time complexity of Binary search in sorted array?,O(1),O(log N),O(N),O(N log N),B,O(log N)
DSA-023,DSA,What is the time complexity of Building a heap from N elements (heapify)?,O(1),O(log N),O(N),O(N log N),C,O(N)
DSA-024,DSA,What is the time complexity of Enqueue/Dequeue in queue (amortized)?,O(1),O(log N),O(N),O(N log N),A,O(1)
DSA-025,DSA,What is the time complexity of Push/Pop in stack?,O(1),O(log N),O(N),O(N log N),A,O(1)
DSA-026,DSA,What is the time complexity of Insertion in hash table (average)?,O(1),O(log N),O(N),O(N log N),A,O(1)
DSA-027,DSA,What is the time complexity of Lookup in balanced BST?,O(1),O(log N),O(N),O(N log N),B,O(log N)
DSA-028,DSA,What is the time complexity of Traversal of a binary tree?,O(1),O(log N),O(N),O(N log N),C,O(N)
DSA-029,DSA,What is the time complexity of DFS on graph with V vertices and E edges?,O(N^2),O(N^3),O(V+E),O(2^N),C,O(V+E)
DSA-030,DSA,What is the time complexity of BFS on graph with V vertices and E edges?,O(N^2),O(N^3),O(V+E),O(2^N),C,O(V+E)
DSA-031,DSA,What is the time complexity of Matrix multiplication (naive)?,O(N^2),O(N^3),O(N^3),O(2^N),C,O(N^3)
DSA-032,DSA,What is the time complexity of QuickSort average case?,O(1),O(log N),O(N),O(N log N),D,O(N log N)
DSA-033,DSA,What is the time complexity of Merge Sort worst case?,O(1),O(log N),O(N),O(N log N),D,O(N log N)
DSA-034,DSA,What is the time complexity of Insertion Sort worst case?,O(N^2),O(N^3),O(N^2),O(2^N),C,O(N^2)
