question,type,options,correctAnswer,explanation,difficulty,topic
"What does HTML stand for?",multiple-choice,"Hyper Text Markup Language,High Tech Modern Language,Home Tool Markup Language,Hyperlink and Text Markup Language",0,"HTML stands for Hyper Text Markup Language, which is the standard markup language for creating web pages.",beginner,HTML/CSS
"What is the purpose of CSS?",multiple-choice,"To create web pages,To style and layout web pages,To add functionality to web pages,To store data",1,"CSS (Cascading Style Sheets) is used to style and layout web pages, controlling appearance and presentation.",beginner,HTML/CSS
"What is JavaScript?",multiple-choice,"A markup language,A programming language for web browsers,A database language,A server language",1,"JavaScript is a programming language that runs in web browsers to add interactivity and functionality to web pages.",beginner,JavaScript
"What is React?",multiple-choice,"A database,A JavaScript library for building user interfaces,A server framework,A markup language",1,"React is a JavaScript library developed by Facebook for building user interfaces, particularly single-page applications.",intermediate,React
"What is Node.js?",multiple-choice,"A database,A JavaScript runtime environment for server-side development,A frontend framework,A markup language",1,"Node.js is a JavaScript runtime environment that allows JavaScript to run on the server side.",intermediate,Node.js
"What is an API?",multiple-choice,"A programming language,An Application Programming Interface for communication between software,A database,A web browser",1,"An API (Application Programming Interface) allows different software applications to communicate with each other.",intermediate,APIs
"What is the purpose of localStorage in web browsers?",multiple-choice,"To store data temporarily,To store data permanently in the browser,To store data on the server,To encrypt data",1,"localStorage allows web applications to store data permanently in the user's browser without expiration.",intermediate,JavaScript
"What is the difference between GET and POST HTTP methods?",multiple-choice,"GET is faster than POST,GET sends data in URL, POST sends data in request body,GET is more secure than POST,GET is used for forms only",1,"GET sends data in the URL (visible), while POST sends data in the request body (not visible in URL).",intermediate,APIs
"What is a callback function in JavaScript?",multiple-choice,"A function that calls another function,A function passed as an argument to another function,A function that returns a value,A function that is called automatically",1,"A callback function is a function passed as an argument to another function, to be executed later.",intermediate,JavaScript
"What is the purpose of useEffect in React?",multiple-choice,"To create components,To handle side effects in functional components,To style components,To store data",1,"useEffect is a React Hook that lets you perform side effects in functional components, like data fetching or subscriptions.",intermediate,React
