id,subject,question,A,B,C,D,correct_option,correct_answer
DBMS-001,DBMS,Which of the following is NOT an ACID property?,Atomicity,Consistency,Isolation,DurabilityPlus,D,DurabilityPlus
DBMS-002,DBMS,Which SQL command is used to remove a table and its data permanently?,DROP,DELETE,TRUNCATE,REMOVE,A,DROP
DBMS-003,DBMS,Which normal form eliminates partial dependency?,1NF,2NF,3NF,BCNF,B,2NF
DBMS-004,DBMS,Which clause is used to filter aggregated groups?,WHERE,GROUP BY,HAVING,ORDER BY,C,HAVING
DBMS-005,DBMS,Which join returns rows when there is a match in either table?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,D,FULL OUTER JOIN
DBMS-006,DBMS,What does the PRIMARY KEY enforce?,Uniqueness only,Not Null only,Both uniqueness and not null,Foreign key relationship,C,Both uniqueness and not null
DBMS-007,DBMS,Which index is best for range queries on a numeric column?,Hash index,B+ tree index,Bitmap index,Full-text index,B,B+ tree index
DBMS-008,DBMS,Which isolation level allows non-repeatable reads but not dirty reads?,Read Uncommitted,Read Committed,Repeatable Read,Serializable,B,Read Committed
DBMS-009,DBMS,Which command removes all rows but keeps table structure (often faster)?,DELETE,TRUNCATE,DROP,REMOVE,B,TRUNCATE
DBMS-010,DBMS,Which is a set operation in SQL?,UNION,LIKE,IN,BETWEEN,A,UNION
DBMS-011,DBMS,Which anomaly is removed by normalization?,Update anomaly,Index anomaly,Cache anomaly,Pointer anomaly,A,Update anomaly
DBMS-012,DBMS,"In ER modeling, a weak entity is identified by:",Its own key,Owner’s key plus partial key,Foreign key only,Surrogate key,B,Owner’s key plus partial key
DBMS-013,DBMS,Which of the following enforces referential integrity?,CHECK,DEFAULT,FOREIGN KEY,UNIQUE,C,FOREIGN KEY
DBMS-014,DBMS,The result of a CROSS JOIN is:,Cartesian product,Intersection,Union,Difference,A,Cartesian product
DBMS-015,DBMS,Which SQL function counts non-NULL values?,COUNT(*),COUNT(col),SUM(col),AVG(col),B,COUNT(col)
DBMS-016,DBMS,Which statement creates a new index?,CREATE INDEX,ALTER INDEX,ADD INDEX,MAKE INDEX,A,CREATE INDEX
DBMS-017,DBMS,Which normal form removes transitive dependency?,1NF,2NF,3NF,5NF,C,3NF
DBMS-018,DBMS,What does COMMIT do?,Saves changes permanently,Undoes last change,Starts a transaction,Locks a table,A,Saves changes permanently
DBMS-019,DBMS,Which join can return unmatched rows from the left table?,INNER,LEFT OUTER,RIGHT OUTER,FULL,B,LEFT OUTER
DBMS-020,DBMS,Which clause sorts the result set?,WHERE,GROUP BY,ORDER BY,HAVING,C,ORDER BY
DBMS-021,DBMS,Which of the following is a valid SQL constraint?,PRIMARY KEY,SECONDARY KEY,MAIN KEY,PARENT KEY,A,PRIMARY KEY
DBMS-022,DBMS,Which command is used to change a table structure?,ALTER TABLE,MODIFY TABLE,CHANGE TABLE,EDIT TABLE,A,ALTER TABLE
DBMS-023,DBMS,Which of these is a NoSQL database?,MySQL,PostgreSQL,MongoDB,SQLite,C,MongoDB
DBMS-024,DBMS,Which file organization is best for equality search on key?,Sequential,Heap,Hash,Clustered B+ tree,C,Hash
DBMS-025,DBMS,Which of the following is true for a view?,Stores data physically,Is a virtual table,Cannot be queried,Cannot be updated,B,Is a virtual table
DBMS-026,DBMS,Which of the following is NOT an ACID property?,Atomicity,Consistency,Isolation,DurabilityPlus,D,DurabilityPlus
DBMS-027,DBMS,Which SQL command is used to remove a table and its data permanently?,DROP,DELETE,TRUNCATE,REMOVE,A,DROP
DBMS-028,DBMS,Which normal form eliminates partial dependency?,1NF,2NF,3NF,BCNF,B,2NF
DBMS-029,DBMS,Which clause is used to filter aggregated groups?,WHERE,GROUP BY,HAVING,ORDER BY,C,HAVING
DBMS-030,DBMS,Which join returns rows when there is a match in either table?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL OUTER JOIN,D,FULL OUTER JOIN
DBMS-031,DBMS,What does the PRIMARY KEY enforce?,Uniqueness only,Not Null only,Both uniqueness and not null,Foreign key relationship,C,Both uniqueness and not null
DBMS-032,DBMS,Which index is best for range queries on a numeric column?,Hash index,B+ tree index,Bitmap index,Full-text index,B,B+ tree index
DBMS-033,DBMS,Which isolation level allows non-repeatable reads but not dirty reads?,Read Uncommitted,Read Committed,Repeatable Read,Serializable,B,Read Committed
DBMS-034,DBMS,Which command removes all rows but keeps table structure (often faster)?,DELETE,TRUNCATE,DROP,REMOVE,B,TRUNCATE
DBMS-035,DBMS,Which is a set operation in SQL?,UNION,LIKE,IN,BETWEEN,A,UNION
DBMS-036,DBMS,Which anomaly is removed by normalization?,Update anomaly,Index anomaly,Cache anomaly,Pointer anomaly,A,Update anomaly
DBMS-037,DBMS,"In ER modeling, a weak entity is identified by:",Its own key,Owner’s key plus partial key,Foreign key only,Surrogate key,B,Owner’s key plus partial key
